Question;ReponseA;ReponseB;ReponseC;ReponseD;Valeur reponse A;Valeur reponse B;Valeur reponse C;Valeur reponse D
Dans la cours de récré, j’étais plutôt du genre à :;Me battre;Faire du sport;Faire mes devoirs;Pleurer;1.25;1.25;0;-1.25
Comme sport, je fais plutôt :;Des sports de combats;Des sports collectifs;Des sports de raquettes;A vrai dire je ne fais pas de sport car j’ai peur de me blesser …;1.25;1.25;0;-1.25
En boite de nuit, je suis plutôt :;Danseur et dragueur,  je suis là pour ça !;au bar pour enchaîner les verres;Je ne suis pas en boite de nuit;Discret;1.25;1.25;0;-1.25
Un inconnue me bouscule dans la rue :;je l’insulte et je suis prêt a me battre;je ne dis rien et j’attends qu’il s’excuse;je m’excuse, nous sommes tout les 2 coupables;je pleure;1.25;1.25;0;-1.25
Je découvre que ma femme/mon mari me trompe :;J’entame une procédure de divorce, elle a trahis ma confiance !;Je la pardonne, si il n’y a pas de sentiments, ce n’est pas vraiment trompé ;De toute façon je ne l’aimais pas vraiment;je pleure;1.25;1.25;0;-1.25
Mon patron me licencie :;Il ne sait pas ce qu’il rate ! Avec mes compétences je vais rapidement retrouver du travail ;Il n’a pas le droit, j’appelle mon avocat pour le traîner en justice !;C’est vrai qu’à sa place, j’aurai fait la même chose, ça fait 6 mois que je ne travail pas ;je pleure;1.25;1.25;0;-1.25
Pour avoir un poste, j’apprends l’identité de la personne avec qui je suis en compétition :;Je paie quelqu’un pour lui faire violemment comprendre qu’il n’est pas dans son intérêt de prendre ce poste.;Je me renseigne sur lui pour savoir sur quels points de mon CV il faut que j’appuie.;il a l’air sympathique, je renonce au poste mais je gagne un ami.;Je ne fais rien, je ne suis pas censé connaître son identité.;1.25;1.25;0;-1.25
Je reçois une promotion, seulement, il faut que je déménage loin de tout ce qui m’est cher, à limoges.;Je suis prêt à tout, c’est mon poste de rêve et tout mon entourage comprendra ma décision.;je prend mon week-end pour y réfléchir … ;C’est quand même loin Limoges, en plus, en 5 minutes j’ai fais le tour des choses intéressantes à faire la bas.;Je décline l’offre et attend qu’on m’en repropose une plus proche et dans un lieu plus dynamique. ;1.25;1.25;0;-1.25
Lorsque je vois une vieille dame dans la rue :;Étant donnée sa vitesse d’environ 3km/h et la vitesse des voiture d’environ 50 km/h, Si elle traverse seule, elle a 86,5 % de chance de ne pas arriver de l’autre coté car la distance est de 5,6 mètre. Je l’aide donc à traverser ;Je la bouscule et lui vole son sac ;Je ne lui prête pas spécialement attention, je suis pressé ;Je pleure, ça me rappel ma mamie décédée hier ;1.25;1.25;0;-1.25
J’ai une mauvaise note :;je refait l’évaluation chez moi , le soir même;En même temps c’est mérité, je n’ai pas travaillé; Le profs s’est sûrement trompé, mon père le saura !;je pleure;1.25;1.25;0;-1.25
Mon plat préférés est :;Étant donné mon apport calorique journalier, j’ai besoin de 1500kcal/jour je pense donc que, sachant qu’il y a 3 repas par jours, chaque repas doit m’apporter 500kcal, je pense donc qu’une salade de tomate ainsi que du poisson est ce que je préfère a midi. ;Caviar, Champagne, truffe;Entrecôte saignante;Un burger de tofu pour ne pas tuer les bébé vaches;1.25;1.25;0;-1.25
En NSI, je suis choisi pour présenter mon « en bref » :;J’ai préparé tout mes « en bref » de l’année en septembre, soit 150 »en bref » préparé en un week end, d’après mes calculs aujourd’hui je présente les ordinateurs quantiques et j’ai tout compris. ;Avant d’être je choisi, je ne savais sur quoi je passais mais pas de soucis, je suis le meilleur;J’ai fait un « en bref » sur les données personnelle car c’est important de se protéger. ;J’ai un « en bref » de  1min40 sur les booléens mais je suis serein ;1.25;1.25;0;-1.25
Comme animal de compagnie, j’ai ou j’aimerai avoir :;Un chat que j’ai recueilli;Un serpent;Un oiseau ;Un chien ;1.25;1.25;1.25;-1.25
Dans 10 ans,je me vois :;riche;Marié(e), avec 2 enfants, une maison et un labrador;à la FAC ;aux resto du cœur ;1.25;1.25;0;-1.25
Pour faire disparaître un cadavre, :;Je ne le fait pas disparaître : je me rend aux autorités, c’est le mieux a faire ;il n’est pas encore mort, juste évanoui de douleur ! ;Je le leste puis le jette à l’eau, j’ai bien fait de venger ma famille qui a été tué par cet individu;Je n’ai pas de cadavre à faire disparaître, malheureusement;1.25;1.25;0;-1.25
Les histoires que je préfère sont :;celles où le bien gagne sur le mal;les histoires d’horreur, j’aime me faire peur;Les histoires policières, pour leur recherche de justice;Les histoires d’amour, je suis un grand romantique;1.25;1.25;0;-1.25
Le choixpeau magique a pris sa décision clic sur le bouton pour voir le résultat !!!;;;;;;;;
